车名,车牌,类型,评分,最高价,最低价,总评数,差评词,差评词次数,总评前几,总评前几内容次数,好评词,好评词次数,手动耗油/L,自动耗油/L
C-TREK蔚领,大众,紧凑型车,4.48,162900,116900,226,"后排空间不够大,悬架偏硬,悬架减震偏硬",65,"外观漂亮,油耗满意,乘坐空间够用,后备厢空间大,转向手感很轻,功能配置实用,转向精准,乘坐空间不错,储物空间大,高速油耗满意",705,"外观漂亮,油耗满意,乘坐空间够用",359,6.8,7.1
锐3,纳智捷,紧凑型车,4.48,96800,59800,83,"油耗吓人,悬架减震太硬,起步动力肉",35,"乘坐空间没得说,外观漂亮,油耗吓人,后备厢空间大,后排空间大,转向手感比较轻,转向精准,转向比较灵活,操控轻松,悬架减震太硬",195,"乘坐空间没得说,外观漂亮,后备厢空间大",114,7.1,8.9
启辰D60,启辰,紧凑型车,4.47,111800,69800,879,"悬架减震有点硬,起步动力肉,隔音差",296,"油耗满意,乘坐空间很满意,外观漂亮,车子配置很满意,后备厢空间很大,悬架减震有点硬,转向手感很轻,后排空间大,前排座椅很舒服,内饰造型满意",2375,"油耗满意,乘坐空间很满意,外观漂亮",1294,6.6,6.9
爱丽舍,雪铁龙,紧凑型车,4.47,125800,83800,11,"油耗有明显,隔音欠佳",9,"外观比较耐看,油耗有明显,后备厢空间较大,隔音欠佳,乘坐空间无压力,乘坐空间不错",26,"外观比较耐看,后备厢空间较大,乘坐空间无压力",14,7.6,7.6
博瑞GE,吉利汽车,中型车,4.68,179800,136800,236,"后备厢空间有点小,悬架减震偏硬",51,"乘坐空间满意,外观很漂亮,后备厢空间有点小,油耗满意,功能配置很丰富,车内静音效果很棒,音响效果不错,内饰造型满意,前排座椅很软,加速动力特别强",318,"乘坐空间满意,外观很漂亮,油耗满意",150,8.1,8.1
索纳塔九,现代,中型车,4.67,249800,169800,91,"胎噪比较大,悬架减震偏硬,悬架减震偏硬",29,"乘坐空间比较宽敞,外观很漂亮,车子配置挺满意,油耗满意,内饰造型挺好的,后排空间比较宽敞,转向精准,胎噪比较大,转向很灵活,储物空间比较丰富",254,"乘坐空间比较宽敞,外观很漂亮,车子配置挺满意",135,8,5.8
阿特兹,马自达,中型车,4.66,237800,175800,4445,"胎噪有点大,隔音不好,悬架减震偏硬",1425,"外观漂亮,油耗满意,乘坐空间够用,安全配置稳定,后备厢空间很大,操控之王,转向精准,转向手感很轻,胎噪有点大,隔音不好",11071,"外观漂亮,油耗满意,乘坐空间够用",6114,8.3,8.8
凯美瑞,丰田,中型车,4.64,279800,179800,1051,"胎噪有点大,起步动力肉,起步动力比较肉",163,"油耗满意,外观漂亮,安全配置很足,乘坐空间够用,乘坐空间足够,后备厢空间很大,内饰造型满意,转向精准,操控性很棒,车内静音效果不错",3024,"油耗满意,外观漂亮,安全配置很足",1566,8.2,7.5
红旗H5,红旗,中型车,4.63,195800,149800,205,"油耗不爽,油耗不算低",49,"乘坐空间不错,外观漂亮,安全配置很好,乘坐空间充足,外观完美,安全配置很丰富,后备厢空间够用,油耗不爽,油耗不算低,转向手感很轻",360,"乘坐空间不错,外观漂亮,安全配置很好",169,10.4,10.4
宝马M3,宝马,中型车,4.6,1088900,898900,6,,0,乘坐空间够用,4,乘坐空间够用,4,13.8,13.8
蒙迪欧,福特,中型车,4.59,319800,179800,189,"油耗不满意,后排空间太小,起步动力有点肉",118,"乘坐空间够用,外观时尚,油耗不满意,车子配置非常好,后备厢空间大,车内静音效果不错,转向精准,转向手感很轻,储物空间都很大,前排座椅很舒服",552,"乘坐空间够用,外观时尚,车子配置非常好",279,8.7,4.8
名图,现代,中型车,4.59,169800,129800,873,"悬架减震硬,胎噪有点大,起步动力有点肉",415,"乘坐空间不错,外观漂亮,油耗满意,内饰配置丰富,悬架减震硬,后备厢空间很大,后排空间大,转向手感很轻,转向精准,内饰造型满意",2936,"乘坐空间不错,外观漂亮,油耗满意",1625,7.9,7.9
讴歌TLX-L,讴歌,中型车,4.59,379800,279800,22,,0,"乘坐空间豪华,油耗满意,隔音很棒,后排空间无敌,乘坐空间平顺,隔音很好",34,"乘坐空间豪华,隔音很棒,油耗满意",23,9,9
金牛座,福特,中型车,4.58,299800,234800,40,"油耗不算很好,油耗不算不好",12,"乘坐空间满意,油耗不算很好,外观很上档次,乘坐舒适,油耗不算不好,外观上档次,隔音完美,隔音满意,操控沉稳",62,"乘坐空间满意,外观很上档次,外观上档次",33,11,11
君威,别克,中型车,4.58,269800,175800,2038,"悬架减震有点硬,胎噪有点大,味道比较大",461,"外观漂亮,乘坐空间不错,安全配置,后备厢空间很大,车内静音效果不错,转向精准,后排空间很大,内饰造型比较满意,加速动力十足,操控很棒",5568,"外观漂亮,乘坐空间不错,安全配置",3101,9.2,5.6
速派,斯柯达,中型车,4.58,249800,169800,471,"大灯简配,悬架偏硬,胎噪有点大",146,"油耗满意,外观漂亮,安全配置很到位,乘坐空间没得说,后备厢空间大,转向精准,后排空间大,转向手感很轻,储物空间大,操控稳",1411,"油耗满意,外观漂亮,安全配置很到位",687,6.7,7.1
迈锐宝XL,雪佛兰,中型车,4.56,269900,179900,1362,"胎噪比较大,悬架减震有点硬,悬架减震有点硬",229,"外观时尚,乘坐空间非常宽敞,油耗满意,车子配置比较齐全,乘坐空间不错,后排空间很大,转向精准,后备厢空间很大,转向手感很轻,车内静音效果不错",2935,"外观时尚,乘坐空间非常宽敞,油耗满意",1582,8.8,9.9
英菲尼迪Q50L,英菲尼迪,中型车,4.56,399800,269800,464,"储物空间少,转向手感太重,后备厢空间小",267,"乘坐空间够用,外观漂亮,油耗满意,储物空间少,转向手感太重,前排座椅很舒服,转向精准,后排空间大,操控很棒,功能配置丰富",1262,"乘坐空间够用,外观漂亮,油耗满意",709,9.7,9.7
宝马M4,宝马,中型车,4.52,1318900,928900,16,悬架减震很硬,3,"油耗满意,外观帅气,后备厢空间够大,悬架减震很硬,乘坐空间满意",21,"油耗满意,外观帅气,后备厢空间够大",15,12.5,13
沃尔沃V60,沃尔沃,中型车,4.52,589900,289900,98,"悬架减震比较硬,后排空间稍局促,转向过大",67,"乘坐空间不错,油耗满意,外观漂亮,后备厢空间大,悬架减震比较硬,安全配置比较到位,后排空间稍局促,转向精准,操控感还不错,前排空间不错",318,"乘坐空间不错,油耗满意,外观漂亮",139,10,10
君越,别克,中型车,4.51,309800,229800,569,"味道有点重,起步动力肉,胎噪略大",89,"乘坐空间不错,外观漂亮,整车配置很厚道,车内静音效果很好,后备厢空间大,转向精准,内饰造型豪华,后排空间很大,加速动力十足,转向手感很轻",1515,"乘坐空间不错,外观漂亮,整车配置很厚道",890,9.7,6.3
传祺GA6,广汽传祺,中型车,4.49,196800,102800,783,"起步动力肉,底盘太低,外漆面比较薄",152,"乘坐空间不错,外观漂亮,油耗满意,内饰配置丰富,后备厢空间很大,转向精准,起步动力肉,内饰造型很满意,底盘太低,后排空间大",1675,"乘坐空间不错,外观漂亮,油耗满意",982,7.7,8.1
雪铁龙C5,雪铁龙,中型车,4.49,219900,169900,128,"后排空间不大,起步动力有点肉,备胎太费劲",58,"油耗满意,乘坐空间完全够用,外观流畅,安全配置舒适,后排空间不大,车尾灯非常漂亮,后备厢空间大,隔音很好,转向精准,储物空间很大",351,"油耗满意,乘坐空间完全够用,外观流畅",163,9.5,9.2
雅阁,本田,中型车,4.49,279800,169800,474,"悬架减震偏硬,悬架减震偏硬,外漆面太薄",198,"油耗满意,乘坐空间不错,外观时尚,转向精准,外观漂亮,悬架减震偏硬,悬架减震偏硬,外漆面太薄,高速油耗满意,安全配置很实用",1413,"油耗满意,乘坐空间不错,外观时尚",911,7.9,5.4
帕萨特,大众,中型车,4.49,303900,189900,1135,"悬架减震偏硬,味道比较大,胎噪有点大",296,"乘坐空间满意,油耗满意,外观稳重,功能配置蛮明显,后备厢空间很大,转向精准,转向手感很轻,后排空间大,车内静音效果不错,加速动力很强",3346,"乘坐空间满意,油耗满意,外观稳重",1834,7.7,8.7
博瑞,吉利汽车,中型车,4.49,179800,119800,434,"油耗不满意,悬架减震偏硬,起步动力有点肉",246,"乘坐空间没话说,外观漂亮,车子配置很满意,油耗不满意,后备厢空间很大,隔音很好,转向精准,悬架减震偏硬,音响效果很好,内饰造型很满意",1255,"乘坐空间没话说,外观漂亮,车子配置很满意",715,9.8,10.7
捷豹XEL,捷豹,中型车,4.49,425800,288800,88,"后备厢空间太小,味道较大,后备厢空间小",25,"外观帅气,乘坐空间不错,转向手感很轻,乘坐空间足够,悬架减震很舒适,后排空间大,操控感很好,转向很精准,音响很棒,后备厢空间太小",172,"外观帅气,乘坐空间不错,转向手感很轻",85,10.2,8.9
博瑞GE新能源,吉利汽车,中型车,4.49,232800,199800,241,"电耗比较快,充电不方便",16,"乘坐空间足够,外观时尚,隔音很好,电耗比较快,转向手感很轻,后排空间大,底盘悬架扎实,前排座椅舒适,转向比较厚重,首保免费",128,"乘坐空间足够,外观时尚,隔音很好",78,6.2,9.4
林肯MKZ,林肯,中型车,4.49,378800,261800,40,"后排空间略小,底盘太低,车漆",47,"外观霸气,车尾灯喜欢,车内静音效果很好,整车配置够丰富,后备厢空间大,乘坐空间够用,后排空间略小,储物空间很多,底盘太低,高速油耗满意",266,"外观霸气,车尾灯喜欢,整车配置够丰富",107,5.6,12.9
睿骋CC,长安,中型车,4.48,138900,89900,330,"起步动力有点肉,胎噪略大,后排座椅不能放倒",52,"乘坐空间不错,外观漂亮,安全配置很满意,内饰造型满意,后备厢空间很大,后排空间大,转向精准,车内静音效果很好,中控屏很好用,转向手感很轻",837,"乘坐空间不错,外观漂亮,安全配置很满意",514,7.7,8.6
宝马3系GT,宝马,中型车,4.48,469800,369800,16,"储物空间略少,音响很不好",11,"乘坐空间满意,油耗满意,储物空间略少,后排空间大,后备厢空间大,乘坐空间很满意,外观很漂亮,后备厢空间超大,音响很不好,转向精准",68,"乘坐空间满意,油耗满意,后备厢空间大",33,9.3,9.3
迈锐宝,雪佛兰,中型车,4.47,189900,164900,2111,"起步动力有点肉,悬架减震偏硬,味道比较大",398,"外观漂亮,乘坐空间不错,车子配置比较好,后备厢空间很大,车内静音效果不错,转向精准,转向手感很轻,后排空间很大,操控性能不错,乘坐空间够用",4934,"外观漂亮,乘坐空间不错,车子配置比较好",2652,9.1,9.1
迈腾,大众,中型车,4.47,316900,189900,536,"悬架减震偏硬,悬架减震偏硬,胎噪有点大",144,"乘坐空间满意,油耗满意,外观稳重,后备厢空间大,后排空间大,外观漂亮,转向手感很轻,转向精准,高速油耗满意,加速动力十足",1479,"乘坐空间满意,油耗满意,外观稳重",807,7.2,9.4
INSPIRE,本田,中型车,4.47,249800,182800,37,,0,油耗低,3,油耗低,3,8.8,6
英菲尼迪Q50,英菲尼迪,中型车,4.46,467800,389800,316,"储物空间太少,音响差,悬架减震硬",82,"储物空间太少,外观漂亮,功能配置稳定,音响差,前排座椅舒服,悬架减震硬,加速动力输出平顺,胎噪太大,后排空间小,操控自如",219,"外观漂亮,功能配置稳定,前排座椅舒服",78,13.1,13.1
起亚K5新能源,起亚,中型车,4.46,239800,222800,9,,0,乘坐空间不错,3,乘坐空间不错,3,4.7,12.9
蔚揽,大众,中型车,4.46,402800,250800,49,车内静音效果太渣了,3,"乘坐空间绝对够用,外观漂亮,后备厢空间大,油耗满意,高速油耗满意,外观拉风,乘坐空间不挤,转向精准,前排座椅很舒适,转向手感很轻",117,"乘坐空间绝对够用,外观漂亮,油耗满意",56,6.7,9.8
奥迪A4L,奥迪,中型车,4.45,411000,290000,502,"音响效果欠佳,储物空间太少了,胎噪有点大",282,"乘坐空间不错,油耗满意,外观漂亮,音响效果欠佳,储物空间太少了,内饰配置年轻活力,后排空间宽敞,转向手感很轻,后备厢空间很大,内饰造型满意",1301,"乘坐空间不错,油耗满意,外观漂亮",678,9.3,9.8
思铂睿,本田,中型车,4.43,267900,179900,173,"悬架减震比较硬,胎噪有点大,味道",59,"油耗满意,乘坐空间不错,外观漂亮,功能配置值得拥有,隔音好,后备厢空间很大,悬架减震比较硬,转向精准,操控很棒,储物空间很多",455,"油耗满意,乘坐空间不错,外观漂亮",259,7.8,9.7
西玛,日产,中型车,4.43,267800,234800,79,"头部空间有限,储物空间少,悬架偏硬",18,"乘坐空间够用,外观时尚,安全配置不赖,油耗满意,车内静音效果很好,后备厢空间很大,内饰造型豪华,音响没得说,高速油耗满意,头部空间有限",166,"乘坐空间够用,外观时尚,安全配置不赖",85,10,10
起亚K5,起亚,中型车,4.41,239800,164800,587,"悬架减震偏硬,胎噪比较大,导航不能用",249,"乘坐空间不错,外观漂亮,油耗满意,低配配置厚道,悬架减震偏硬,胎噪比较大,转向手感很轻,后排空间大,后备厢空间大,转向精准",1398,"乘坐空间不错,外观漂亮,油耗满意",811,8.5,9.2
宝马3系,宝马,中型车,4.41,366800,316800,142,"储物空间少,胎噪有点大,悬架偏硬",81,"乘坐空间够用,油耗满意,外观漂亮,储物空间少,后排空间大,转向精准,加速动力十足,胎噪有点大,操控很棒,后备厢空间很大",392,"乘坐空间够用,油耗满意,外观漂亮",178,9.4,9.4
奥迪A4(进口),奥迪,中型车,4.4,436500,395800,64,"储物空间太少,悬架有点硬,后排空间小",35,"油耗满意,外观硬朗,后备厢空间大,储物空间太少,转向手感很轻,高速油耗满意,氛围灯很好,悬架有点硬,后排空间小,加速动力稳重",153,"油耗满意,外观硬朗,后备厢空间大",81,9.8,9.8
凯迪拉克ATS-L,凯迪拉克,中型车,4.4,428800,298800,1328,"悬架减震偏硬,后备厢空间小,储物空间少",840,"外观漂亮,乘坐空间够用,悬架减震偏硬,隔音好,后备厢空间小,加速动力十足,转向精准,整车配置非常齐全,操控很棒,储物空间少",3200,"外观漂亮,乘坐空间够用,隔音好",1518,11,11
天籁,日产,中型车,4.4,298800,175800,382,"外漆面比较薄,起步动力肉,味道有点大",140,"油耗满意,乘坐空间不错,安全配置,高速油耗满意,后备厢空间很大,隔音不错,外观时尚,外漆面比较薄,起步动力肉,保养费用免费",1015,"油耗满意,乘坐空间不错,安全配置",576,9.2,9.1
雷克萨斯IS,雷克萨斯,中型车,4.4,422000,304000,57,"油耗不满意,储物空间太少,胎噪偏大",50,"油耗不满意,外观帅气,储物空间太少,隔音好,转向精准,转向手感很轻,车灯挺亮,保养费用免费,操控自如,后备厢空间挺大",133,"外观帅气,隔音好,转向精准",51,11.2,11.2
奔驰C级(进口),奔驰,中型车,4.38,538800,358800,30,"安全带太难,中控屏太小气,导航太鸡肋",12,"外观帅气,油耗满意,乘坐空间方便,后备厢空间大,安全带太难,前排空间没问题,车内静音效果很好,储物空间非常平整,路感反馈清晰,中控屏太小气",58,"外观帅气,油耗满意,后备厢空间大",26,10.1,10.1
腾势,腾势,中型车,4.38,328800,298800,13,,0,乘坐空间不错,6,乘坐空间不错,6,16,16
海马M6,海马,中型车,4.37,102800,69800,210,"起步动力肉,胎噪有点大,外漆面有点薄",51,"乘坐空间不错,外观漂亮,车子配置好多,后备厢空间大,后排空间大,转向不错,起步动力肉,内饰造型满意,转向手感挺轻,胎噪有点大",500,"乘坐空间不错,外观漂亮,车子配置好多",335,8,9.2
奔驰C级,奔驰,中型车,4.33,486800,310800,267,"悬架偏硬,味道太大,转向手感有点硬",68,"乘坐空间够用,油耗满意,外观漂亮,转向精准,内饰造型豪华,后排空间很大,悬架偏硬,味道太大,转向手感有点硬,高速油耗满意",480,"乘坐空间够用,油耗满意,外观漂亮",285,9.9,9.2
一汽-大众CC,大众,中型车,4.32,309800,252800,21,"油耗不满意,悬架偏硬,后排空间太拥挤",15,"外观流畅,乘坐空间够用,油耗不满意,后备厢空间大,悬架偏硬,转向手感很稳,转向精准,后排空间太拥挤,腿部空间挺大",55,"外观流畅,乘坐空间够用,后备厢空间大",29,10.9,10.9
凯绅,起亚,中型车,4.31,149800,128800,85,"胎噪有点大,起步动力有点肉,味道都很大",32,"乘坐空间够用,外观漂亮,油耗满意,安全配置实用,后备厢空间挺大,内饰造型很好,后排空间大,转向很精准,转向手感很轻,加速动力十足",273,"乘坐空间够用,外观漂亮,油耗满意",148,8.4,8.4
力帆820,力帆汽车,中型车,4.3,119800,76800,51,隔音太差,3,"乘坐空间满意,外观漂亮,隔音太差,储物空间大,音响效果不错",43,"乘坐空间满意,外观漂亮,音响效果不错",37,8.6,11.4
Giulia,阿尔法·罗密欧,中型车,4.29,949800,319800,53,"储物空间不多,手套箱小,储物空间稍小",18,"外观个性,乘坐空间够用,油耗满意,操控稳定,转向精准,悬架减震舒适,隔音不错,转向手感很轻,加速动力十足,储物空间稍小",116,"外观个性,油耗满意,乘坐空间够用",53,10.9,19
沃尔沃S90新能源,沃尔沃,中大型车,4.73,1088000,598000,12,,0,乘坐空间没的说,6,乘坐空间没的说,6,6.7,16.4
皇冠,丰田,中大型车,4.7,381800,254800,499,"油耗不低,油耗有些略高,味道比较大",230,"外观漂亮,乘坐空间不错,乘坐空间非常不错,油耗不低,转向很精准,后备厢空间很大,油耗有些略高,车子配置很高,味道比较大,加速动力特别强",1026,"外观漂亮,乘坐空间不错,乘坐空间非常不错",498,12.6,12.6
奥迪A7,奥迪,中大型车,4.67,879800,556000,25,"后排空间小,悬架偏硬,后排空间局促",10,"外观时尚,转向手感很轻,乘坐空间很足,外观漂亮,隔音很棒,转向特别精准,后备厢空间很大,底盘悬架扎实,后排空间小,前排空间没得说",54,"外观时尚,转向手感很轻,外观漂亮",23,9.4,13.1
林肯大陆,林肯,中大型车,4.63,566800,368800,33,油耗不满意,4,"空间有大了,外观稳重,整车配置丰富,外观新颖,后排空间大,车内静音效果非常好,后备厢空间很大,转向很精准,油耗不满意,路感反馈清晰",77,"空间有大了,整车配置丰富,外观稳重",41,11.8,13
沃尔沃V90,沃尔沃,中大型车,4.61,594800,446800,34,"悬架偏硬,储物空间不行",8,"安全配置齐全,后备厢空间大,乘坐空间绝对够,音响棒,外观漂亮,油耗稳定,后排空间很大,隔音一流,转向很好,内饰材质很棒",101,"安全配置齐全,后备厢空间大,乘坐空间绝对够",46,10.9,9.8
东风A9,东风风神,中大型车,4.61,219700,179700,108,"发动机噪音偏大,导航太垃圾,车内静音效果不好",10,"乘坐空间满意,油耗满意,外观稳重,乘坐空间充足,后排空间很大,外观流畅,转向手感较轻,后备厢空间宽敞,乘坐舒适,转向精准",177,"乘坐空间满意,油耗满意,外观稳重",107,9,9
沃尔沃S90,沃尔沃,中大型车,4.61,551800,379800,201,"悬架减震偏硬,隔音差,悬架减震偏硬",18,"喜欢外观,油耗还可以接受,转向手感很轻,乘坐空间足够,后备厢空间很大,安全配置很丰富,转向很轻,油耗满意,外观漂亮,悬架减震偏硬",207,"喜欢外观,油耗还可以接受,转向手感很轻",109,10.3,10.3
凯迪拉克CT6,凯迪拉克,中大型车,4.58,699000,379700,155,"底盘低,味道太重,市区油耗不低",46,"乘坐空间足够,外观霸气,油耗满意,转向精准,加速动力十足,后备厢空间很大,大灯特别喜欢,车子配置丰富,车内静音效果很好,内饰配置满意",593,"乘坐空间足够,外观霸气,油耗满意",352,11.5,12
英菲尼迪Q70,英菲尼迪,中大型车,4.55,614800,379800,168,"储物空间太少,胎噪有点大,中控屏坑",35,"乘坐空间满意,外观漂亮,油耗满意,后排空间大,车子配置足够,前排座椅舒服,操控比较灵活,内饰造型漂亮,高速油耗满意,转向精准",418,"乘坐空间满意,外观漂亮,油耗满意",253,11.4,8.8
辉昂,大众,中大型车,4.54,659000,349000,220,"胎噪明显,导航十分差,发动机噪音很大",15,"乘坐空间不错,油耗满意,外观稳重,整车配置比较给力,车内静音效果非常好,后备厢空间大,转向手感很轻,后排空间大,转向精准,外观低调",574,"乘坐空间不错,油耗满意,外观稳重",313,9.4,9
奥迪A6L,奥迪,中大型车,4.54,694800,402800,262,"储物空间太少了,味道大,音响一般般",103,"乘坐空间不错,油耗满意,外观漂亮,转向手感很轻,储物空间太少了,功能配置基本齐全,车内静音效果不错,后排空间大,高速油耗满意,味道大",677,"乘坐空间不错,油耗满意,外观漂亮",383,9.1,9.9
雷克萨斯ES,雷克萨斯,中大型车,4.54,468000,279000,137,"音响阉割,储物空间少,味道比较大",40,"油耗满意,乘坐空间不错,外观漂亮,保养费用免费,安全配置满意,后排空间很大,隔音不错,加速动力不错,音响阉割,前排座椅舒适",419,"油耗满意,乘坐空间不错,外观漂亮",252,8.5,5.9
奔驰CLS级,奔驰,中大型车,4.53,838000,648800,10,,0,"乘坐空间不小,油耗满意,大灯无敌,外观优美",14,"油耗满意,乘坐空间不小,大灯无敌",11,10.4,10.4
雷克萨斯GS,雷克萨斯,中大型车,4.52,560000,438000,39,"后排空间小,胎噪略大,音响阉割",19,"油耗满意,外观漂亮,后排空间小,车型配置多一些,后备厢空间大,操控很棒,保养费用免费,转向精准,隔音不错,高速油耗满意",94,"油耗满意,外观漂亮,车型配置多一些",45,10.6,6.5
凯迪拉克XTS,凯迪拉克,中大型车,4.52,359900,299900,591,"味道大,底盘略低,起步动力肉",61,"乘坐空间不错,外观霸气,车内静音效果很好,车子配置很高,后备厢空间很大,转向手感很轻,车尾灯很特别,转向很精准,后排空间很大,音响效果很棒",1938,"乘坐空间不错,外观霸气,车内静音效果很好",988,10.7,10.7
捷恩斯,现代,中大型车,4.5,648800,378000,74,"油耗不满意,导航过低,胎噪过大",18,"功能配置丰富,外观漂亮,油耗不满意,保养费用免费,音响很棒,隔音完美,导航过低,胎噪过大,乘坐空间小",80,"功能配置丰富,外观漂亮,音响很棒",45,13,12
奥迪A6L新能源,奥迪,中大型车,4.5,454800,454800,6,,0,乘坐空间绰绰有余,3,乘坐空间绰绰有余,3,7.1,15.7
传祺GA8,广汽传祺,中大型车,4.49,259800,149800,92,"导航没啥用,外漆面比较薄,内饰颜色不太耐脏",13,"乘坐空间很满意,外观霸气,转向精准,车内静音效果不错,后备厢空间很大,起步动力不肉,操控很赞,中控屏很喜欢,外观优美,味道很淡",174,"乘坐空间很满意,外观霸气,车内静音效果不错",113,9.1,9.3
宝马5系,宝马,中大型车,4.48,659900,436900,253,"储物空间少,胎噪有点大,胎噪较大",66,"油耗满意,乘坐空间没的说,乘坐空间够用,外观霸气,操控很棒,车内静音效果很好,转向精准,外观流畅,加速动力十足,储物空间少",471,"油耗满意,乘坐空间没的说,乘坐空间够用",225,9.8,11.2
捷豹XFL,捷豹,中大型车,4.48,683800,385800,84,"储物空间太少,外漆面比较薄,悬架减震偏硬",40,"乘坐空间足够,油耗能接受,外观漂亮,储物空间太少,操控准确,音响不错,后排空间大,转向精准,后备厢空间够大,外漆面比较薄",223,"乘坐空间足够,油耗能接受,外观漂亮",123,10.8,9.8
克莱斯勒300C(进口),克莱斯勒,中大型车,4.47,491900,399900,74,"悬架减震偏硬,后排空间小,起步动力比较肉",30,"外观霸气,功能配置平稳,音响猛,油耗满意,乘坐空间很够,悬架减震偏硬,后排空间小,方向盘加热真心实用,隔音很好,内饰材质豪华",177,"外观霸气,功能配置平稳,音响猛",103,12.1,9.8
宝马5系(进口),宝马,中大型车,4.46,609900,429900,75,"储物空间不是很合理,悬架偏硬,后排座椅不能放倒",15,"乘坐空间够用,隔音好,外观帅气,氛围灯很不错,操控感很足,高速油耗满意,加速动力十足,转向精准,油耗满意,内饰材质显档次",134,"乘坐空间够用,隔音好,外观帅气",62,10.2,12.7
奥迪A6(进口),奥迪,中大型车,4.43,559800,429800,34,,0,"乘坐空间动感,油耗满意,外观帅,后备厢空间大,转向手感很轻,内饰材质扎实,原车音响效果够用",51,"乘坐空间动感,外观帅,油耗满意",32,10.7,12.4
宝马5系新能源,宝马,中大型车,4.42,499900,496900,29,音响垃圾,3,"乘坐空间不错,悬架减震很舒服,前排座椅舒适,内饰造型满意,音响垃圾",28,"乘坐空间不错,悬架减震很舒服,前排座椅舒适",22,6.2,16.4
众泰Z700,众泰,中大型车,4.42,165800,105800,5,油耗不满意,3,"乘坐空间方便,油耗不满意,后备厢空间不错",10,"乘坐空间方便,后备厢空间不错",7,10.8,10
红旗H7,红旗,中大型车,4.41,325800,258800,9,油耗没有不满意,4,"外观稳重,乘坐空间霸气,油耗没有不满意,保养费用免费,悬架舒适,内饰造型并非很出众,操控感很强",34,"外观稳重,乘坐空间霸气,保养费用免费",21,11.7,11.7
宝马6系GT,宝马,中大型车,4.36,799900,599900,18,,0,"乘坐空间很充裕,外观挺漂亮,外观帅气",18,"乘坐空间很充裕,外观挺漂亮,外观帅气",18,10.2,20
凯迪拉克CT6 PLUG-IN,凯迪拉克,中大型车,4.35,658800,558800,9,后备厢空间太小,3,"乘坐空间非常舒适,后备厢空间太小",6,乘坐空间非常舒适,3,4.6,4.6
奔驰E级,奔驰,中大型车,4.32,629800,435800,112,"胎噪很大,车内静音效果不是太好,倒车雷达延迟",39,"乘坐空间不错,油耗满意,外观霸气,后排空间大,内饰造型满意,胎噪很大,氛围灯大,转向精准,车内静音效果不是太好,转向手感很轻",272,"乘坐空间不错,油耗满意,外观霸气",154,10.3,14.3
奔驰E级(进口),奔驰,中大型车,4.16,704800,453800,18,,0,"外观精致,乘坐空间够用,前排座椅舒适,外观漂亮,内饰造型满意,后排空间不会局促,氛围灯赞",26,"外观精致,外观漂亮,前排座椅舒适",13,11,12
奔驰E级AMG,奔驰,中大型车,4.13,1668800,918800,7,悬架减震硬,3,"后备厢空间大,乘坐空间适中,外观帅气,悬架减震硬",14,"后备厢空间大,乘坐空间适中,外观帅气",11,20,20
奥迪A8,奥迪,大型车,4.8,1224800,876800,12,,0,"乘坐空间不错,油耗满意,外观线条流畅,内饰造型豪华,隔音不错,后排空间大,车子操控很顺畅,中控屏很有科技感",46,"乘坐空间不错,油耗满意,外观线条流畅",25,12.8,12.8
雷克萨斯LS,雷克萨斯,大型车,4.76,1196000,824000,7,,0,保养费用免费,3,保养费用免费,3,9.2,9.2
捷豹XJ,捷豹,大型车,4.63,1068000,888000,6,储物空间太小,3,"储物空间太小,油耗满意,外观漂亮,乘坐空间很满意",12,"油耗满意,外观漂亮,乘坐空间很满意",9,,
宝马7系,宝马,大型车,4.56,2488000,828000,70,"胎噪有点大,储物空间偏少",12,"乘坐空间没的说,油耗满意,操控很好,车子配置很高,外观很霸气,后排空间大,隔音安静,转向手感很轻,胎噪有点大,高速油耗满意",164,"乘坐空间没的说,油耗满意,操控很好",92,10.4,11.9
奔驰S级,奔驰,大型车,4.45,1981000,863800,37,"后备厢空间不大,不配座椅通风,储物空间太少",11,"乘坐空间不用多说,氛围灯很好,外观稳重,后排空间很大,高速油耗满意,操控好驾驶,车灯全新,不配座椅通风,加速动力非常强烈,后备厢空间不大",74,"乘坐空间不用多说,氛围灯很好,外观稳重",38,13.3,14.9
Panamera新能源,保时捷,大型车,4.44,2548000,1198000,4,,0,乘坐空间不错,4,乘坐空间不错,4,8.3,26
Panamera,保时捷,大型车,4.36,2178000,998000,63,"储物空间比较少,内饰颜色单一,转向手感太重",24,"乘坐空间还不错,外观稳重,油耗满意,储物空间比较少,车尾灯很赞,操控很好,后排空间大,内饰造型豪华,外观满意,腿部空间挺不错",139,"乘坐空间还不错,外观稳重,油耗满意",78,12.5,12.4
捷豹F-TYPE,捷豹,跑车,4.88,1628000,598000,3,,0,乘坐空间不错,3,乘坐空间不错,3,12,12
保时捷718,保时捷,跑车,4.53,918000,558000,10,,0,"油耗满意,高速油耗满意,外观漂亮",15,"油耗满意,高速油耗满意,外观漂亮",15,11.5,11.5
科迈罗,雪佛兰,跑车,4.5,399900,399900,68,"储物空间小,后备厢空间小,悬架偏硬",27,"外观拉风,空间有大了,油耗挺不错,头灯大,加速动力很强,前排空间很大,操控感十足,转向精准,悬架偏硬,储物空间小",182,"外观拉风,空间有大了,油耗挺不错",99,11.6,11.6
